DoorState,Time
Timer Triggered,Tue May 26 08:06:39 2020
Door Opened,Tue May 26 08:06:54 2020
Door Closed,Tue May 26 08:06:59 2020
Timer Triggered,Tue May 26 08:07:13 2020
Door Opened,Tue May 26 08:07:28 2020
Door Closed,Tue May 26 08:07:33 2020
Timer Triggered,Tue May 26 08:11:59 2020
Door Opened,Tue May 26 08:12:14 2020
Door Closed,Tue May 26 08:12:19 2020
Timer Triggered,Tue May 26 08:14:14 2020
Door Opened,Tue May 26 08:14:29 2020
Door Closed,Tue May 26 08:14:34 2020
Timer Triggered,Tue May 26 08:22:38 2020
Door Opened,Tue May 26 08:22:53 2020
Door Closed,Tue May 26 08:22:58 2020
Timer Triggered,Tue May 26 08:26:34 2020
Door Opened,Tue May 26 08:26:49 2020
Door Closed,Tue May 26 08:26:54 2020
Timer Triggered,Tue May 26 08:28:36 2020
Timer Triggered,Tue May 26 08:29:20 2020
Door Opened,Tue May 26 08:29:35 2020
Door Closed,Tue May 26 08:29:40 2020
